Starting station,hits in station 1,QDC/hits in station 1,L_x in station 1,L_y in station 1,hits in station 2,QDC/hits in station 2,L_x in station 2,L_y in station 2,hits in station 3,QDC/hits in station 3,L_x in station 3,L_y in station 3,hits in station 4,QDC/hits in station 4,L_x in station 4,L_y in station 4,hits in station 5,QDC/hits in station 5,L_x in station 5,L_y in station 5
-1,4,0.42942190170288086,0.02501337333869813,0.024426902786252924,5,0.5326726198196411,0.050628978758808785,0.024694858738904202,5,0.0703686475753784,0.025615605420110654,0.0506207891321111,5,2.6799353122711183,0.025615605420110654,0.05062364987182377,4,0.41656258702278137,0.025522624219895818,0.024692951579091016
-1,5,0.6019831418991088,0.02501337333869813,0.04885189841270687,4,0.054252952337265015,0.02501337333869813,0.024694858738904202,4,0.06482449173927307,0.025615605420110654,0.025008586526865884,4,1.1537422239780426,0.025615605420110654,0.02561410976504419,6,0.464898963769277,0.05113822964000647,0.04913606522369207
-1,5,0.9577792763710022,0.02501337333869813,0.04885189841270687,6,0.039103845755259214,0.050628978758808785,0.049137018803598664,4,0.47796735167503357,0.025615605420110654,0.025008586526865884,4,0.7397223114967346,0.025615605420110654,0.02561410976504419,6,0.20486733317375183,0.05113822964000647,0.04913606522369207
-1,4,1.6352571099996567,0.02501337333869813,0.024426902786252924,4,1.4202361404895782,0.02501337333869813,0.024694858738904202,6,0.007968703905741371,0.050628978758808785,0.0506207891321111,6,1.1612355609734852,0.050628978758808785,0.05062364987182377,5,0.7738621830940247,0.025615605420110654,0.04913606522369207
-1,5,0.5477123022079469,0.0491417563819887,0.024444067224493438,5,0.3018806219100952,0.024694853124618277,0.049445025112156316,0,0,0,0,0,0,0,0,0,0,0,0
-1,5,0.2607495188713074,0.0491417563819887,0.024444067224493438,5,1.0355923295021057,0.024694853124618277,0.049445025112156316,0,0,0,0,0,0,0,0,0,0,0,0
-1,4,0.6938031911849976,0.024694853124618277,0.024444067224493438,5,0.7227642893791199,0.024694853124618277,0.049445025112156316,0,0,0,0,0,0,0,0,0,0,0,0
-1,5,0.4602614760398865,0.0491417563819887,0.024444067224493438,5,0.7719595789909363,0.024694853124618277,0.049445025112156316,0,0,0,0,0,0,0,0,0,0,0,0
-1,5,0.13293248414993286,0.0491417563819887,0.024444067224493438,4,-0.12615175545215607,0.024694853124618277,0.02443071710587219,0,0,0,0,0,0,0,0,0,0,0,0
-1,4,0.8952971249818802,0.02552238580656052,0.024692474789141272,4,-0.06612887978553772,0.02552238580656052,0.025614586555008145,5,-0.24650505781173707,0.02552238580656052,0.0490716985802635,5,0.7458510994911194,0.02552238580656052,0.049436919682975144,4,0.5907733142375946,0.02552238580656052,0.025519705354689393
4,4,3.79216805100441,0.02552238580656052,0.024692474789141272,4,2.0412635505199432,0.02552238580656052,0.025614586555008145,5,0.3540953755378723,0.02552238580656052,0.0490716985802635,116,0.9374624074533068,9.680005731782913,12.063815396408799,45,0.4185834328333537,9.204808857547757,15.55318274919641
-1,4,0.09402632713317871,0.02552238580656052,0.024692474789141272,4,0.6290710866451263,0.02552238580656052,0.025614586555008145,5,0.5063432455062866,0.02552238580656052,0.0490716985802635,22,0.6248373362151058,0.4906176870846757,2.2700517891001653,4,2.0480228662490845,0.02552238580656052,0.025519705354689393
-1,4,0.3650408089160919,0.02552238580656052,0.024692474789141272,4,1.9332675337791443,0.02552238580656052,0.025614586555008145,5,0.4899891376495361,0.02552238580656052,0.0490716985802635,5,0.4922814965248108,0.02552238580656052,0.049436919682975144,4,0.8360398411750793,0.02552238580656052,0.025519705354689393
-1,4,0.0005115717649459839,0.02552238580656052,0.024692474789141272,4,0.33231133222579956,0.02552238580656052,0.025614586555008145,5,0.3696666836738587,0.02552238580656052,0.0490716985802635,5,0.22620506286621095,0.02552238580656052,0.049436919682975144,4,1.2339385002851486,0.02552238580656052,0.025519705354689393
-1,4,0.13007038831710815,0.024427830190660416,0.025010493686675517,4,0.4177742004394531,0.025014326992035762,0.02552542683410408,3,1.0735004941622417,0.0,0.024445974384310176,5,1.1223103284835814,0.0250124196853605,0.04943358215331983,5,0.07372360229492186,0.024427830190660416,0.05021742483329916
-1,5,-0.10675233602523804,0.02552453152657108,0.05062555703162985,4,0.5199485719203949,0.024427830190660416,0.02552542683410408,5,0.7192136168479919,0.05062754827880411,0.024445974384310176,5,0.06850163340568538,0.04436013855743681,0.04943358215331983,6,-0.04747106631596883,0.04944215718268907,0.05021742483329916
-1,5,0.12923293113708495,0.04944311083603026,0.025010493686675517,4,0.025838643312454224,0.025014326992035762,0.02552542683410408,4,0.9852104187011719,0.025524531526563976,0.024445974384310176,6,0.16757636268933615,0.050625640972135955,0.04943358215331983,5,0.3453864216804504,0.04885756768798899,0.025525426834107634
-1,6,-0.12062241633733115,0.04944311083603026,0.05062555703162985,5,0.10897167921066284,0.025014326992035762,0.05113667585944981,5,0.4285243272781372,0.025524531526563976,0.049134158063889544,5,-0.16153379678726196,0.050625640972135955,0.025012400846481597,4,1.1374295204877853,0.024427830190660416,0.025525426834107634
3,11,0.1019240292635831,1.1494183386440255,0.4249800480537438,4,0.38332176208496094,0.025014326992035762,0.02552542683410408,67,0.6867309977759176,9.15595105144644,2.5085979071769735,21,0.674507581052326,3.825439691777227,1.4187438078002934,10,-0.03527231216430664,3.085489101694101,0.8201416525516514
